locale|ru_RU



SYSTEM_CARGO_AUX_FAB|Фабрикатор SSE Voyager

SYSTEM_CARGO_AUX_FAB_DESC|Изготовленное на заказ и совершенно нелицензированное чудовище от Sin Space Engineering, ставшее популярным среди шахтёров кольца в 2260-х годах. Модуль-фабрикатор Voyager RSLS MPU был демонтирован и размещён выше в грузовом отсеке вместе с небольшим хранилищем минералов для замены специализированных загрузочных бункеров. \n\nВ связи с заменой шины питания на распределитель более низкого качества ожидается умеренное снижение энергоэффективности по сравнению со стандартным блоком. \n\nОтказ от ответственности: Nakamura Dynamics не предоставляет гарантию на этот блок и не считает его частью своего ассортимента продукции, явным или подразумеваемым. Использование модифицированного оборудования может привести к повреждениям и непредвиденным опасностям.

SYSTEM_CARGO_AUX_FAB_SPECS|Потребляемая мощность при печати: 120 МВт \nВозможности печати: дроны, боеприпасы \nГрузоподъёмность: 2000 кг / минерал (всего 12 000 кг) \nЗапас топлива: 6000 кг \nКоэффициент скорости обработки УПМ: 155% от скорости УПМ \nДополнительные затраты мощности УПМ на единицу продукции: ~55% \nМасса: 5000 кг \nПроизводитель: Sin Space Engineering / Nakamura-Obonto



SYSTEM_CARGO_AUX_BIGFAB|Фабрикатор RMS-PAL

SYSTEM_CARGO_AUX_BIGFAB_DESC|Портативная сборочная линия Rasamama Material Solutions — настоящее чудо автоматизации, включающее два ИИ класса 1 (ARTEMIS и APOLLO), которые контролируют работу друг друга в условиях противостояния. Его выдающаяся производительность полностью обусловлена ​​постоянной оптимизацией ситуации, а его большие приёмные бункеры могут быть подключены к внутренним хранилищам судна в качестве вспомогательных мест хранения расходных материалов. \n\nВнимание: характеристики ИИ соответствуют категории 1 согласно Лос-Анджелесской конвенции 2184 года. Ни ARTEMIS, ни APOLLO не предназначены для разумного использования или коммуникации. Немедленно сообщайте в ATLAS о любых отклонениях в поведении.

SYSTEM_CARGO_AUX_BIGFAB_SPECS|Потребляемая мощность при печати: 210 МВт \nВозможности печати: дроны, боеприпасы \nВместимость боеприпасов: 5000 кг \nВместимость дронов: 5000 кг \nМасса: 10 500 кг \nПроизводитель: Rasamama Material Solutions

SYSTEM_CARGO_AUX_FAB_MANUAL|Для корректной работы требуется установка переработки минералов (УПМ). \nПассивно увеличивает объём перерабатываемого груза на борту. \nПереработанная руда хранится в отдельных контейнерах, вместимость которых ограничена для каждого типа минерала. \nПроизводит кинетические боеприпасы из смеси железа и ванадия в соотношении 9:1. \nПроизводит компоненты нанодрона из смеси железа и платины в соотношении 4:1. \nЗанимает некоторое место в грузовом отсеке.



 
SLOT_CARGO_MPU|УПМ Грузового отсека

SYSTEM_CARGO_MPU_FURN|УПМ Rusatom-Antonoff Mk2

SYSTEM_CARGO_MPU_FURN_DESC|Эта модификация Mark-2 установки переработки руды «Rusatom-Antonoff», которую шахтеры ласково называют «Галпер», сочетает в себе лучшие качества своей предшественницы с приемной манжетой и дополнительными нагревательными элементами, повышая общую эффективность и производительность рекультивации за счет уменьшения рабочей зоны.

