SLOT_HULL_CONSUMABLEVAT|Consumable Vat


SYSTEM_HULLVAT_AMMO_1|Дополнительная кассета с боеприпасами

SYSTEM_HULLVAT_AMMO_1_DESC|Облегченный магазин, традиционно используемый для увеличения боезапаса на судах Vilcy, устанавивается в редко используемые коридоры судна. Несмотря на установку в качестве вспомогательной системы, магазину всё равно приходится использовать люк подачи боеприпасов для доставки боеприпасов к узлам подвески, что ограничивает скорость подачи боеприпасов скоростью, доступной для текущего магазина. Повреждение вентиляционных отверстий различными механизмами, используемыми для подачи боеприпасов в магазин, вызывает небольшую «заложенность», о которой сообщают экипажи, которые могут испытывать дискомфорт на судах, оборудованных такими системами, после длительного пребывания в них.

SYSTEM_HULLVAT_AMMO_1_SPECS|Вместимость: 6,000 kg \nСобственная масса: 3,000 kg \nПроизводитель: Conlido RVM 

SYSTEM_HULLVAT_AMMO_MANUAL|Дополнительные боеприпасы для кинетического оружия. Совместим с электромагнитными пушками и рельсотронами.\n Скорость подачи боеприпасов зависит от установленного магазина.\n Боеприпасы продаются отдельно на старте полета.



SYSTEM_HULLVAT_AMMO_2|ND Hollowed Hull Ammunition Magazine

SYSTEM_HULLVAT_AMMO_2_DESC|Первоначально основанный на контрабандных механизмах, применявшихся во время конфликтов, ND HHAM (часто называемый просто «Ham») использует свободное пространство в корпусе корабля для размещения целых 15 тонн дополнительного боекомплекта. Хотя обычно он предназначен для специалистов с лицензией Vilcy, Ham попал на гражданский рынок благодаря недавнему снижению требований к лицензированию, что позволило тем, у кого есть проблемы с пальцем на спусковом крючке, заниматься добычей без особых проблем, не вызывая синдрома Кесслера.

SYSTEM_HULLVAT_AMMO_2_SPECS|Вместимость: 15,000 kg \nСобственная масса: 10,000 kg \nПроизводитель: Nakamura Dynamics 



SYSTEM_HULLVAT_AMMO_EXTEND_1|

SYSTEM_HULLVAT_AMMO_EXTEND_1_DESC|

SYSTEM_HULLVAT_AMMO_EXTEND_1_SPECS|Модификатор вместимости: +33% \nВместимость: 1,000 kg \nСобственная масса: 7,500 kg 



SYSTEM_HULLVAT_AMMO_EXTEND_2|

SYSTEM_HULLVAT_AMMO_EXTEND_2_DESC|

SYSTEM_HULLVAT_AMMO_EXTEND_2_SPECS|Модификатор вместимости: +50% \nВместимость: 1,000 kg \nСобственная масса: 12,000 kg 



SYSTEM_HULLVAT_AMMO_EXTEND_3|

SYSTEM_HULLVAT_AMMO_EXTEND_3_DESC|

SYSTEM_HULLVAT_AMMO_EXTEND_3_SPECS|Модификатор вместимости: +70% \nВместимость: 1,000 kg \nСобственная масса: 20,000 kg 


